reference,translation,google/gemini-2.5-flash-lite,DeepSeek-V3.2-Exp,DeepSeek-V3.1-Terminus,DeepSeek-V3.1-Terminus (temp=1.3),DeepSeek-V3.2-Exp (temp=1.3),google/gemini-2.0-flash-001,google/gemma-3-12b-it,google/gemma-3-27b-it,anthropic/claude-sonnet-4,z-ai/glm-4.5,google/gemini-2.5-pro
"«Халӗ пирӗн тӑватӑ уйӑхри шӑшисем пур – вӗсем текех диабетпа аптӑрамаҫҫӗ», - терӗ вӑл.","""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.","«Сейчас у нас есть четырехмесячные крысы – они уже страдают от диабета», - сказал он/она.","«Сейчас у нас есть четырёхмесячные мыши – они тоже не заболеют диабетом», - сказал он.","«Сейчас у нас есть четырехмесячные мыши – они тоже не будут страдать диабетом», - сказал он.","«Сейчас у нас есть четырёхмесячные мыши – они тоже не заболеют диабетом», - сказал он.","«Сейчас у нас есть мыши, которым четыре месяца – они тоже не будут страдать от диабета», - сказал он.","«Теперь у нас есть четырехмесячные мыши – они больше не страдают от диабета», – сказал он.","«На данный момент у нас есть четыре месячных кошки – ни одна из них не страдает диабетом», - сказал он.","«Сейчас у нас есть четверомесячные телята – они никак не заболеют диабетом», – сказал он.","«Сейчас у нас есть четвертые месячные проверки – они также не болеют диабетом», - сказал он.","«Сейчас у нас есть четырехмесячные мыши – только они не болеют диабетом», - сказал он/она.","«Сейчас у нас есть четырехмесячные мыши – они ещё не страдают диабетом», - сказал он."
"Галифаксри (Ҫӗнӗ Шотланди) Дэлхаузи университечӗн медицина профессорӗ тата Канадӑри диабетика ассоциацийӗн клиникӑпа ӑслӑлӑх пайӗн председателӗ Эхуд Ур тухтӑр асӑрхаттарнине ӗненес пулсан, тӗпчевсем халӗ те пуҫламӑш тапхӑрта ҫеҫ-ха.","Согласно предупреждению доктора Эхуда Ура (Ehud Ur), профессора медицины в Университете Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.","Если верить предупреждению доктора Эхуда Ура, профессора медицины Университета Далхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся только на начальной стадии.","Если принять во внимание заявление доктора Эхуда Ура, профессора медицины Университета Дэлхаузи (Галифакс, Новая Шотландия) и председателя клинического и научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.","Если принять во внимание замечание доктора Эхуда Ура, профессора медицины Университета Дэлхаузи (Галифакс, Новая Шотландия) и председателя клинического и научного отдела Канадской диабетической ассоциации, исследования пока находятся лишь на начальной стадии.","Если принять во внимание замечания доктора Эхуда Ура, профессора медицины университета Дэлхаузи (Галифакс, Новая Шотландия) и председателя клинического и научного отдела Канадской диабетической ассоциации, то исследования находятся пока только на начальной стадии.","Если принять во внимание замечание доктора Эхуда Ура, профессора медицины университета Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинического и научного отдела Канадской диабетической ассоциации, исследования в настоящее время находятся лишь на начальной стадии.","Доктор Эхуд Ур, профессор медицины Университета Дэлхаузи в Галифаксе (Новая Шотландия) и председатель клинико-научного отдела Канадской диабетической ассоциации, считает, что исследования все еще находятся на начальной стадии.","Если верить словам профессора медицины Университета Далхаузи (Новая Шотландия) в Галифаксе и председателя клинического и научного отдела Канадской диабетической ассоциации доктора Эхуда Ура, исследования все еще находятся на ранней стадии.","По словам доктора Эхуда Ура, профессора медицины Университета Далхаузи (Новая Шотландия) и председателя клинико-научного отделения Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.","По словам доктора Эхуда Ура, профессора медицины Университета Далхаузи в Галифаксе (Новая Шотландия) и председателя клинического и исследовательского отдела Канадской диабетической ассоциации, исследования пока находятся на начальной стадии.","Если верить предупреждению доктора Эхуда Ура, профессора медицины Университета Далхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования до сих пор находятся лишь на начальной стадии.","Как предупреждает доктор Эхуд Ур, профессор медицины Университета Дэлхаузи в Галифаксе (Новая Шотландия) и председатель клинического и научного отдела Канадской диабетической ассоциации, исследования все еще находятся лишь на начальном этапе."
"Ытти хӑш-пӗр эксперт пекех вӑл та диабета сиплеме пуласси пирки иккӗленет, уҫнӑ ҫӗнӗлӗхсем диабетӑн 1-мӗш тӗсӗпе аптӑранӑ ҫынсене пырса тивменнине палӑртать.","Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.","Подобно некоторым экспертам, он также сомневается в возможности излечения диабета, отмечая, что обнаруженные новшества не коснулись людей, страдающих диабетом 1-го типа.","Как и некоторые другие эксперты, он также сомневается относительно возможности излечения диабета, отмечая, что открытия не достигают людей, страдающих диабетом 1-го типа.","Как и некоторые другие эксперты, он также сомневается в возможности лечения диабета, отмечая, что новые открытия не достигают людей, страдающих диабетом 1-го типа.","Как и некоторые эксперты, он также сомневается в возможности излечения диабета, отмечая, что новые открытия не затрагивают людей, страдающих диабетом 1-го типа.","Как и некоторые другие эксперты, он также сомневается в возможности излечения диабета, открытия показывают, что не достигают людей, страдающих диабетом 1-го типа.","Как и некоторые другие эксперты, он сомневается в возможности излечения диабета и отмечает, что открытия не касаются людей, страдающих диабетом 1-го типа.","Некоторые эксперты также согласны с тем, что он может быть подвержен диабету, объясняя, что новые исследования показали влияние на людей, страдающих диабетом 1-го типа.","Как некоторые эксперты, он тоже сомневается в возможности излечить диабет, недавние исследования показывают, что новые разработки не влияют на людей, страдающих диабетом 1-го типа.","Как и некоторые другие эксперты, он также сомневается в возможности лечения диабета, однако новые исследования показывают возможность полного излечения людей, страдающих диабетом 1-го типа.","Как и некоторые другие эксперты, он также сомневается в возможности вылечить диабет, отмечая, что новые достижения не доходят до людей, страдающих диабетом 1-го типа.","Как и некоторые другие эксперты, он сомневается в возможности излечения диабета, отмечая, что нововведения не затрагивают людей, страдающих диабетом 1-го типа."
"Тунтикун Сара Даниус, Швеци академийӗ ҫумӗнче литература енӗпе йӗркеленӗ Нобель комитечӗн яланхи секретарӗ, «Sveriges» Швеци радиостанцийӗн кӑларӑмӗ вӑхӑтӗнче ҫапла пӗлтерчӗ: Боб Диланпа тӳррӗн ҫыхӑнайман, вӑл литература енӗпе 2016 ҫулшӑн Нобель премине тивӗҫнине пӗлтереймен комитет унпа ҫыхӑну шырама пӑрахать.","В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской Академии, публично заявила во время передачи на шведской радиостанции Sveriges о том, что комитет, которому не удалось связаться с Бобом Диланом напрямую и сообщить ему, что он выиграл Нобелевскую премию по литературе за 2016 год, прекращает попытки выйти с ним на связь.","Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской академии, сообщила в эфире шведской радиостанции «Sveriges»: комитет прекращает попытки связаться с Бобом Диланом, поскольку не смог напрямую уведомить его о присуждении ему Нобелевской премии по литературе за 2016 год.","В четверг Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской академии, во время передачи на шведской радиостанции «Sveriges» сообщила следующее: комитет, который не смог напрямую связаться с Бобом Диланом, чтобы сообщить ему о присуждении Нобелевской премии по литературе за 2016 год, пытается установить с ним контакт.","В прошлый четверг Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской академии, во время передачи шведской радиостанции «Sveriges» заявила следующее: комитет, который не смог напрямую связаться с Бобом Диланом, чтобы сообщить ему о присуждении Нобелевской премии по литературе за 2016 год, изо всех сил пытается найти с ним контакт.","В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета, отвечающего за литературу при Шведской академии, во время передачи на шведской радиостанции «Sveriges» сообщила следующее: комитет, который не смог напрямую связаться с Бобом Диланом, чтобы сообщить ему о присуждении Нобелевской премии по литературе за 2016 год, прекращает попытки выйти с ним на связь.","В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской академии, во время передачи шведской радиостанции «Sveriges» сообщила следующее: не удалось связаться напрямую с Бобом Диланом, комитет продолжает искать с ним контакт, чтобы сообщить, что он получил Нобелевскую премию по литературе за 2016 год.","В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской академии, заявила в эфире шведской радиостанции «Sveriges», что комитет прекращает попытки связаться с Бобом Диланом, так как не смог напрямую сообщить ему о присуждении Нобелевской премии по литературе за 2016 год.","Тунтикун Сара Даниус, секретарь по связям с общественностью Комитета Нобеля по литературе при Шведской академии, в эфире шведской радиостанции «Sveriges» сообщила: «Мы не можем подтвердить связь с Бобом Диланом, и комитет не сообщает о том, что он заслуживает Нобелевскую премию по литературе 2016 года».","Постоянный секретарь Нобелевского комитета по литературе, находящегося при Шведской академии, Тунтикун Сара Даниус, в эфире радиостанции «Sveriges» заявила: с Бобом Диланом напрямую не связывались, но комитет, объявивший о присуждении ему Нобелевской премии по литературе за 2016 год, предпримет попытки связаться с ним.","Вчера Сара Даниус, постоянный секретарь Нобелевского комитета по литературе Шведской академии, в эфире шведской радиостанции «Sveriges» сообщила следующее: комитет не может связаться с Бобом Диланом и прекратил попытки установить с ним контакт, чтобы уведомить его о присуждении Нобелевской премии по литературе за 2016 год.","Во вторник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе, учрежденного при Шведской академии, в эфире шведской радиостанции «Sveriges» заявила: поскольку комитет не смог напрямую связаться с Бобом Диланом и сообщить ему о присуждении Нобелевской премии по литературе за 2016 год, он прекращает попытки вступить с ним в контакт.","В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской академии, в эфире шведской радиостанции «Sveriges» заявила, что комитет прекращает попытки связаться с Бобом Диланом. По ее словам, с ним не удалось связаться напрямую, чтобы сообщить о присуждении ему Нобелевской премии по литературе за 2016 год."
"«Халӗ эпир нимӗн те тумастпӑр. Эпӗ унӑн ҫывӑх ӗҫченӗ патне шӑнкӑравларӑм та, электрон ҫыру та ятӑм, питӗ кӑмӑллӑ хуравсем илтӗм. Хальлӗхе ку, паллах, ҫителӗклӗ», - терӗ Даниус.","Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".","«Сейчас мы ничего не делаем. Я позвонил его близкому сотруднику и отправил электронное письмо, получил очень приятные ответы. Пока этого, конечно, достаточно», - сказал Даниус.","«Сейчас мы ничего не делаем. Я позвонил его ближайшему сотруднику и отправил электронное письмо, получил очень интересные сведения. Пока этого, очевидно, достаточно», - сказал Даниус.","«Сейчас мы вообще ничего не делаем. Я позвонил его близкому коллеге и отправил электронное письмо, получил очень ясные сообщения. Пока этого, конечно, достаточно», - сказал Даниус.","«Сейчас мы ничего не делаем. Я позвонил его ближайшему сотруднику и отправил электронное письмо, получил очень приятные сообщения. Пока этого, конечно, достаточно», - сказал Даниус.","«Сейчас мы ничего не делаем. Я и позвонил его близкому коллеге, и отправил электронное письмо, получил очень интересные сообщения. Пока этого, конечно, достаточно», - сказал Даниус.","«Сейчас мы ничего не предпринимаем. Я позвонил его близкому сотруднику и отправил электронное письмо, получил очень приятные ответы. На данный момент этого, конечно, достаточно», - сказал Даниус.","«Сейчас мы ничего не делаем. Я собираюсь позвонить его близкому коллеге и отправить электронное письмо, получил очень приятные предложения. Пока что, это выглядит перспективно», - сказал Даниус.","Сейчас мы ничего не делаем. Я позвонил его/её близкому коллеге и написал электронное письмо, получил очень приятные ответы. Пока, пожалуй, этого достаточно,"" - сказал Даниус.","«Сейчас мы ничего не будем делать. Я обратился к его близкому коллеге и также отправил электронное письмо, получил очень вежливые ответы. Сейчас это, очевидно, обнадёживает», - говорит Данюс.","""Сейчас мы ничего не делаем. Я позвонил его близкому сотруднику и отправил электронное письмо, услышал очень доброжелательные ответы. На данный момент этого, конечно, достаточно"", - сказал Даниус.","«Сейчас мы ничего не делаем. Я позвонил его близкому сотруднику и отправил электронное письмо, получил очень любезные ответы. Пока что этого, конечно, достаточно», — сказал Даниус."
"«Ring» генеральнӑй директорӗ Джейми Симинофф маларах палӑртнӑ тӑрӑх, ку компани вӑл хайӗн гаражӗнчи ӑсталӑх лаҫҫинче алӑкран шӑнкӑртаттарнине илтменнинчен пуҫланнӑ.","Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.","Как ранее указывал генеральный директор «Ring» Джейми Симинофф, эта компания началась с того, что он не услышал звонок в дверь своей мастерской в гараже.","«Генеральный директор Ring Джейми Симинофф, как уже упоминалось ранее, отметил, что компания началась с того, что он не слышал звонка в дверь, находясь в своей мастерской в гараже.»","Генеральный директор «Ring» Джейми Симинофф, как отмечалось ранее, сказал, что компания началась с того, что он не слышал, когда кто-то звонил в дверь в мастерской его гаража.","По словам генерального директора «Ring» Джейми Симиноффа, о которых сообщалось ранее, эта компания началась с того, что он не упомянул о звонке в дверь из своего гаражного мастерского пространства.","«Генеральный директор Ring Джейми Симинофф, как отмечалось ранее, сказал, что компания началась с того, что он не слышал, когда кто-то звонил в дверь в своей мастерской в гараже.»","«Ring», по словам генерального директора Джейми Симиноффа, началась с того, что он в своей мастерской в гараже не услышал дверной звонок.","По словам генерального директора «Ring» Джейми Симинофф, компания начала с того, что он не смог извлечь застрявший в гараже предмет.","«Генеральный директор Ring Джейми Симинофф заявил, что компания началась с того, что он не хотел, чтобы его гараж взламывали, поэтому он начал разрабатывать собственные устройства безопасности.»","Согласно заявлению генерального директора компании «Ring» Джейми Симинофф, эта компания началась с того, что он в рабочее время в своём гараже занимался доставкой дверных звонков.","Как ранее указал генеральный директор «Ring» Джейми Симинофф, эта компания началась с того, что он не слышал звонок в двери в своей мастерской в гараже.","Как ранее заявлял генеральный директор «Ring» Джейми Симинофф, эта компания началась с того, что он не услышал дверной звонок, находясь в своей мастерской в гараже."
Вӑл алӑк валли вай-файпа ӗҫлекен шӑнкӑрав хатӗрлени ҫинчен каланӑ.,"Он сказал, что создал дверной звонок, работающий от WiFi.","Он сказал о подготовке звонка для двери, работающего с помощью Wi-Fi.",Было сказано о подготовке работающего через Wi-Fi замка для двери.,"Было сказано о подготовке Wi-Fi замка, работающего для двери.","Сообщили о подготовке дверного звонка, работающего через Wi-Fi, для двери.",Было рассказано о подготовке работающего по Wi-Fi замка для двери.,"Он рассказал о том, что разработал дверной звонок, работающий через Wi-Fi.","Он рассказал о подготовке оборудования, работающего по Wi-Fi, для этого мероприятия.","Он рассказал о подготовленном ошейнике для собак, работающем на Wi-Fi.","Он рассказал о подготовке исследования для детей, работающего с Wi-Fi.",Он рассказал о настройке Wi-Fi дверного звонка для двери.,"Он рассказал, что сделал дверной звонок, работающий по Wi-Fi."
"Симинофф палӑртнӑ тӑрӑх, ҫак хатӗр 2013 ҫулта ""Shark Tank"" шоу кӑларӑмӗнче тухнӑ хыҫҫӑн, жюри пайташӗсем ку ӗҫе пуҫарса яма укҫан пулӑшма хирӗҫлесен ӑна туянакан нумайланнӑ.","Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.","По словам Симиноффа, после того как этот продукт появился в эфире шоу ""Shark Tank"" в 2013 году, число его покупателей значительно возросло, даже несмотря на первоначальное нежелание членов жюри помогать с финансированием для запуска проекта.","По словам Симиноффа, после того как это устройство появилось в эпизоде шоу ""Shark Tank"" в 2013 году, несмотря на то что члены жюри были против финансирования запуска этого бизнеса, оно стало широко известным.","По словам Симиноффа, популярность этого устройства значительно возросла после того, как оно появилось в выпуске шоу ""Shark Tank"" в 2013 году, несмотря на то, что члены жюри выступили против предоставления денег для запуска этого бизнеса.","По данным Симиноффа, это устройство появилось в шоу «Shark Tank» в 2013 году, после чего, несмотря на отказ членов жюри вложить деньги в запуск этого проекта, оно получило широкое распространение.","Согласно заявлению Симиноффа, это устройство стало гораздо более заметным после появления в эпизоде шоу ""Shark Tank"" в 2013 году, несмотря на то, что члены жюри выступили против финансирования этого предприятия.","По словам Симинофф, после появления этого устройства в эпизоде шоу ""Shark Tank"" в 2013 году, когда члены жюри отказались финансово помочь в запуске этого проекта, количество покупателей на него возросло.","По словам Симинова, после появления этой разработки в шоу ""Shark Tank"" в 2013 году, многие члены жюри были готовы вложить средства в запуск этого проекта.","По словам Симиноффа, после выхода этой разработки в шоу «Акулы бизнеса» в 2013 году, многие инвесторы проявили готовность помочь в её развитии, поскольку члены жюри заинтересовались ею.","По словам Симинофф, после того как он появился в шоу ""Shark Tank"" в 2013 году, когда члены жюри отказались помочь ему начать этот бизнес, количество тех, кто его поддерживал, увеличилось.","Как отметил Симинофф, после появления этого продукта в выпуске шоу ""Shark Tank"" в 2013 году, когда члены жюри отказались финансово поддержать начинание, количество желающих приобрести его только возросло.","По словам Симиноффа, после того, как это устройство появилось в выпуске шоу «Shark Tank» в 2013 году, а члены жюри отказались помочь деньгами для запуска этого дела, число его покупателей увеличилось."
2017 ҫул вӗҫӗнче Симинофф «QVC» суту-илӳ телеканалӗнче курӑнса илчӗ.,В конце 2017 года Симинофф появился на торговом телеканале QVC.,В конце 2017 года Симонофф появился на торговом телеканале «QVC».,В конце 2017 года Симинофф появился на торговом телеканале QVC.,В конце 2017 года Симинофф дебютировал на торговом телеканале QVC.,В конце 2017 года Симинофф появился на торговом телеканале «QVC».,В конце 2017 года Симинофф появился на торговом телеканале «QVC».,В конце 2017 года Симинофф появился на телеканале розничной торговли «QVC».,В конце 2017 года Симинов появился на телеканале «QVC».,В конце 2017 года Симинофф появился на телеканале «QVC».,В конце 2017 года Симинофф появился на торгово-развлекательном телеканале QVC.,В конце 2017 года Симинов появился на торговом телеканале «QVC».,В конце 2017 года Симинофф появился на торговом телеканале «QVC».
"Унсӑр пуҫне «Ring» тупӑшуҫӑсемпе, «ADT Corporation» хурал фирмипе пуҫланӑ суд ӗҫне татса панӑ.","Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.",После этого было урегулировано начатое судебное дело с участниками спора «Ring» и с охранной фирмой «ADT Corporation».,"Без задержек судебное дело, начатое следователями «Ring» и охранной фирмой «ADT Corporation», было прекращено.","После этого судебное дело, начатое совместно с детективами «Ring» и охранной фирмой «ADT Corporation», было прекращено.","Кроме того, судебное дело, начатое с поисково-спасательной службой «Ring» и охранной фирмой «ADT Corporation», было прекращено.","Кроме того, закрыто начатое судебное дело с детективами «Ring» и охранной фирмой «ADT Corporation».","Кроме того, было урегулировано судебное дело, начатое с победителями конкурса «Ring» и охранной фирмой «ADT Corporation».","Дело об иске, начавшееся с ""Ring"" страховой компании и фирмы ""ADT Corporation"", было прекращено.","Помимо «Ring», дело в суде было передано компаниям-конкурентам и фирме, организующей конференции, «ADT Corporation».","В начале года было прекращено судебное дело, начатое с детективами «Ring» и компанией «ADT Corporation».","Без его ведения было завершено судебное дело, начатое с основателями компании ""Ring"" и охранной фирмой ""ADT Corporation"".","Кроме того, был урегулирован судебный спор с конкурентами «Ring» и охранной фирмой «ADT Corporation»."
